adress,latitude,longitude
1,37.09024,-95.712891
adress,latitude,longitude
729 N H StLompoc,34.6496279,-120.459152
adress,latitude,longitude
2415 York Road,39.4546938,-76.632043
adress,latitude,longitude
adress,latitude,longitude
